"","Albany.County.NY","Allegany.County.NY","Bronx.County.NY","Broome.County.NY","Cattaraugus.County.NY","Cayuga.County.NY","Chautauqua.County.NY","Chemung.County.NY","Chenango.County.NY","Clinton.County.NY","Columbia.County.NY","Cortland.County.NY","Delaware.County.NY","Dutchess.County.NY","Erie.County.NY","Essex.County.NY","Franklin.County.NY","Fulton.County.NY","Genesee.County.NY","Greene.County.NY","Hamilton.County.NY","Herkimer.County.NY","Jefferson.County.NY","Kings.County.NY","Lewis.County.NY","Livingston.County.NY","Madison.County.NY","Monroe.County.NY","Montgomery.County.NY","Nassau.County.NY","New.York.County.NY","Niagara.County.NY","Oneida.County.NY","Onondaga.County.NY","Ontario.County.NY","Orange.County.NY","Orleans.County.NY","Oswego.County.NY","Otsego.County.NY","Putnam.County.NY","Queens.County.NY","Rensselaer.County.NY","Richmond.County.NY","Rockland.County.NY","St..Lawrence.County.NY","Saratoga.County.NY","Schenectady.County.NY","Schoharie.County.NY","Schuyler.County.NY","Seneca.County.NY","Steuben.County.NY","Suffolk.County.NY","Sullivan.County.NY","Tioga.County.NY","Tompkins.County.NY","Ulster.County.NY","Warren.County.NY","Washington.County.NY","Wayne.County.NY","Westchester.County.NY","Wyoming.County.NY","Yates.County.NY"
"1790",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1791",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"1792",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1793",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1794",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1795",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"1796",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
"1798",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
