"GEOID","NAME","acs","census","pep","lon","lat","worldpop","fb"
"01001","Autauga County, Alabama",53155,54571,54773,-86.645648613572,32.5400914839585,55931.248537438,54366.0118577604
"01003","Baldwin County, Alabama",175791,182265,183112,-87.7262716821389,30.7383143650806,182220.475089742,203904.306156139
"01005","Barbour County, Alabama",27699,27457,27327,-85.3973271768391,31.8740298930476,27404.4750312932,26100.5969134305
"01007","Bibb County, Alabama",22610,22915,22870,-87.1252604713148,32.9990235453737,23043.2212638485,22343.3299196737
"01009","Blount County, Alabama",56692,57322,57376,-86.5627114049891,33.9904400117864,57222.789082408,55994.8002158557
"01011","Bullock County, Alabama",10923,10914,10876,-85.7168036275263,32.1063355405907,10923.362967524,9699.50380518885
"01013","Butler County, Alabama",20895,20947,20932,-86.6843469573658,31.7571394142614,20930.1449925784,20195.006356933
"01015","Calhoun County, Alabama",117149,118572,118408,-85.8295611128384,33.7762450093233,119214.904749036,110541.783922707
"01017","Chambers County, Alabama",34579,34215,34122,-85.3948531002416,32.9163306543588,34038.0824017811,30054.7145006041
"01019","Cherokee County, Alabama",25700,25989,25963,-85.6042198634416,34.1914706724617,26030.4141647257,24765.101080766
"01021","Chilton County, Alabama",43121,43643,43653,-86.7156239509493,32.8516297031979,43572.5527384067,42074.4749202715
"01023","Choctaw County, Alabama",14111,13859,13849,-88.2595369216504,32.0204684847954,13828.6499195696,12214.3013354292
"01025","Clarke County, Alabama",26255,25833,25766,-87.8248296534948,31.6733260010757,25825.5469223853,24059.5426485782
"01027","Clay County, Alabama",14040,13932,13898,-85.8517871358204,33.2734096885435,13802.2080477313,12660.2596162848
"01029","Cleburne County, Alabama",14823,14972,15004,-85.5261016776062,33.6762193886214,15094.9011687427,14270.4828251854
"01031","Coffee County, Alabama",48349,49948,50208,-85.994440575848,31.3984765640363,49340.1453327518,52465.9210403267
"01033","Colbert County, Alabama",54446,54428,54524,-87.8109759946497,34.7027604714874,54434.9545595219,47107.579778635
"01035","Conecuh County, Alabama",13382,13228,13236,-86.9906544314942,31.4357778107793,13320.797696867,12593.687728783
"01037","Coosa County, Alabama",11470,11539,11780,-86.2454412404319,32.9402136248312,11749.1067008107,10540.5160150213
"01039","Covington County, Alabama",37608,37765,37809,-86.4565510354118,31.2597318559234,37910.5004757408,37173.7930999504
"01041","Crenshaw County, Alabama",13928,13906,13869,-86.319561565922,31.7359091520861,13948.372505149,13762.5767712924
