"GEOID","NAME","acs","census","pep","lon","lat","worldpop"
36001,"Albany County, New York",304032,304204,304086,-73.9745184283239,42.6039191405589,303299.669429658
36003,"Allegany County, New York",49105,48946,48971,-78.0335229143897,42.2560431839839,48975.0310368408
36005,"Bronx County, New York",1365725,1385108,1387298,-73.8649446492273,40.8561815581978,1381498.41646276
36007,"Broome County, New York",200804,200600,200481,-75.8176628083512,42.1633671371583,200420.895805448
36009,"Cattaraugus County, New York",80776,80317,80218,-78.6771595328384,42.2496733985498,79775.1185718611
36011,"Cayuga County, New York",80431,80026,79895,-76.5546486843544,42.9193773348491,80154.7696113249
36013,"Chautauqua County, New York",135263,134905,134725,-79.3649607298399,42.2321006276742,134754.242011552
36015,"Chemung County, New York",88708,88830,88895,-76.7631661902177,42.1415927321945,89409.659357816
36017,"Chenango County, New York",51045,50477,50399,-75.6095159276498,42.495803279718,50473.398306113
36019,"Clinton County, New York",82380,82128,82096,-73.6863837069737,44.7482321637285,81872.3774019869
36021,"Columbia County, New York",63241,63096,63036,-73.6370939097794,42.2526234260346,62898.2067464283
36023,"Cortland County, New York",49452,49336,49279,-76.0644909830431,42.5947528862272,49254.8306835159
36025,"Delaware County, New York",48220,47980,47888,-74.9704906990659,42.1965929206152,48312.0036912807
36027,"Dutchess County, New York",296152,297488,297728,-73.751907100415,41.7673252077474,297450.220607035
36029,"Erie County, New York",921202,919040,919152,-78.734932783095,42.7645040534606,919610.972093886
36031,"Essex County, New York",39416,39370,39360,-73.7803530720846,44.1161286337365,39506.3420089975
36033,"Franklin County, New York",51697,51599,51645,-74.3067273522569,44.591426510563,51692.9136588461
36035,"Fulton County, New York",55497,55531,55455,-74.4252686978695,43.111575834816,55534.0532061961
36037,"Genesee County, New York",59952,60079,59928,-78.1980715843191,42.9996325786275,61133.6549203089
36039,"Greene County, New York",49410,49221,49139,-74.1309983656846,42.2793747701729,49169.2373737381
36041,"Hamilton County, New York",4908,4836,4851,-74.5042677576885,43.6600770541869,4862.20695615183
36043,"Herkimer County, New York",64332,64519,64470,-74.9721912914444,43.4141244045307,64225.1799330115
36045,"Jefferson County, New York",115069,116229,116592,-75.916296784879,44.0317046493989,116275.159930546
36047,"Kings County, New York",2466782,2504700,2509828,-73.9546542392043,40.6405776137993,2518054.11222648
36049,"Lewis County, New York",27017,27087,27077,-75.451911336177,43.7829291717855,27064.0554338588
36051,"Livingston County, New York",65441,65393,65240,-77.7824742888135,42.7224721096895,65676.5159058252
36053,"Madison County, New York",72887,73442,73440,-75.6731773461954,42.9148558282053,71903.6620507482
36055,"Monroe County, New York",741274,744344,744580,-77.7018883059415,43.1430594221461,744005.899484866
36057,"Montgomery County, New York",49945,50219,50307,-74.4533398332815,42.9015779027146,50072.6392450854
36059,"Nassau County, New York",1329083,1339532,1341669,-73.5838826725349,40.7458617332876,1344387.43278571
36061,"New York County, New York",1583345,1585873,1588767,-73.9742709464159,40.7702157898992,1595001.09391706
36063,"Niagara County, New York",216064,216469,216475,-78.7346689257535,43.1985615827661,215224.526018426
36065,"Oneida County, New York",234533,234878,234756,-75.446342611681,43.2436146980566,236101.110757515
36067,"Onondaga County, New York",463704,467026,467533,-76.1939051206104,43.0046597385434,466370.826675355
36069,"Ontario County, New York",106298,107931,108176,-77.2998523595865,42.8538644219634,107722.581402794
36071,"Orange County, New York",370201,372813,373445,-74.3113505636133,41.4010665271554,372508.347676379
36073,"Orleans County, New York",43169,42883,42851,-78.2342532460515,43.2472666458432,43098.3848979672
36075,"Oswego County, New York",122220,122109,122137,-76.1464091260268,43.4283871578884,122855.822390781
36077,"Otsego County, New York",62604,62259,62259,-75.0349875048388,42.6339714342661,62525.7383199688
36079,"Putnam County, New York",99545,99710,99667,-73.7526998797892,41.4288480853871,99623.6907398105
36081,"Queens County, New York",2199169,2230722,2234701,-73.8147119507689,40.6835315080162,2204885.31651231
36083,"Rensselaer County, New York",158629,159429,159340,-73.510421637055,42.7119175893042,160568.157295133
36085,"Richmond County, New York",463450,468730,469615,-74.1737199052685,40.5779444576197,468817.545046704
36087,"Rockland County, New York",305461,311687,312499,-74.0249648525634,41.152903254238,311985.497297989
36089,"St. Lawrence County, New York",111778,111944,111812,-75.0705508300631,44.4974595428208,111981.253080289
36091,"Saratoga County, New York",217264,219607,220109,-73.8664242317509,43.1092776312557,219950.866140885
36093,"Schenectady County, New York",153268,154727,154861,-74.0651934625528,42.8242286348588,154472.761644721
36095,"Schoharie County, New York",32789,32749,32686,-74.442671089825,42.5866940696395,32725.3066352308
36097,"Schuyler County, New York",18566,18343,18334,-76.8772536592155,42.3950367793973,18392.2911581714
36099,"Seneca County, New York",35309,35251,35266,-76.8331851289663,42.7739838942522,35589.2922390997
36101,"Steuben County, New York",98724,98990,99005,-77.3890993751424,42.269301019061,98506.6222832184
36103,"Suffolk County, New York",1482548,1493350,1494339,-72.8461781511911,40.8668583233833,1493130.73909784
36105,"Sullivan County, New York",77625,77547,77476,-74.7741780310142,41.7135713405475,77346.5612571753
36107,"Tioga County, New York",51377,51125,51008,-76.3056848812435,42.1736506695288,50797.0072745681
36109,"Tompkins County, New York",100612,101564,101740,-76.4714589408244,42.4578597884381,101589.294502044
36111,"Ulster County, New York",182782,182493,182418,-74.262550380579,41.8900007341135,182822.145331336
36113,"Warren County, New York",65707,65707,65665,-73.8587818596441,43.561801187825,65820.4911254758
36115,"Washington County, New York",63088,63216,63356,-73.4421713424151,43.3217784521243,63058.2638003959
36117,"Wayne County, New York",93654,93772,93751,-77.0351884352358,43.1593886344789,93821.7036517392
36119,"Westchester County, New York",939406,949113,950601,-73.762509941607,41.1635071427179,953423.25625419
36121,"Wyoming County, New York",42367,42155,42126,-78.2323210594186,42.7012794149865,41322.1676720995
36123,"Yates County, New York",25250,25348,25376,-77.1195563312935,42.6318609289241,25151.912587937
